Publisher,Venue,Year,Medium,Dataset,Approach,Arch,Comparisons,Technique,Data,Classes,Images,Cross Validation,Task,Img w/ aug,Preprocessing,Augmentation,Hyperparameters,Variables,Reference
IEEE,OCEANS,2015,Mixed,F4K,Fast R-CNN with AlexNet,"SGD, layers, ReLU, SVM","DPM, RCNN, FRCN, FRCN(SVD)",Fine tuning ALexNet (ILSVRC2012),fish,12,24277,ns,classification,na,ns,na,"momentum, weight decay, learning rate = 0.0001, batch, hardware, image dimensions",mAP=.814,Fast accurate fish detection and recognition of underwater images with fast r-cnn
Elsevier/ScienceDirect,Neurocomputing,2016,Mixed,F4K,DeepFish (CNN-7),"SVM, layers, ReLU, SGD","SVM, SOftmax, KNN, LDA+SVM, DeepFish + Softmax, DeepFish",Masks of the images,fish,23,22370,ns,classification,"yes, but not calculated","foreground extraction, resize","rotation, scale","image dimensiosn, caffe framework, learning rate = 0.01, weight decay, momentum, batch size, epochs, hardware (Intel CPU), software (matlab)","ACC= .986, training curves",DeepFish: Accurate underwater live fish recognition with a deep architecture
Elsevier/ScienceDirect,Ecological informatics,2018,Mixed,4 independent datasets,GoogLeNet,"ADAM, softmax, activation, layers","4 datasets, and with human experts - the network was more effective on smaller or blurrier thumbnails, while humans were better to recognize unusual positions ",CNN architecture to build a fish identification model,fish,20,901197,other videos,classification,ns,"4 datasets with raw and flipped thumbnails, with fish parts, environment and their combinations",flip,"learning rate = 0.00001, learning decay, hardware, batch, epoch, dropout",ASR=.957,A deep learning method for accurate and fast identification of coral reef fishes in underwater images
Springer,Mobile networks and applications,2018,Seabed,JAMSTEC (Kyutech10K),YOLO,"layers,activation",Tracking Learning Detection and MedianFlow,"dehazing, transfer learning (ImageNet)","shrimp, squid, crab, shark, sea urchin, manganese, and sand",7,10728 images + 1489 videos,ns,object detection,ns,"white balance, highlight removal, backgorund estimation, de-hazing and color correction",ns,"image dimensions, regularization","AUC=.531, training curve",Deep-sea organisms tracking using dehazing and deep learning
IEEE,IEEE Access,2018,Mixed,F4K + ImageNet + Croatian fish,2x B-CNN-9,"Softmax, layers, ReLU","AlexNet, VGG-16, InceptionV4",double transfer learning (f4k + imagenet) with fine tuning on croatian,fish,12,794,2-fold,classification,ns,resolution reconstruction,rotations and flips,image dimensions,accuracy: 83.92%,Improving transfer learning and squeeze-and-excitation networks for small-scale fine-grained fish image classification
IEEE,IEEE Journal of Oceanic Engineering,2018,Seabed,Benthoz15,ResNet-152 + CNN-4,"activation, layers, classifier",CNN,Cascade network ResFeat extraction + CNN classification,coral,10,3749,3-fold,classification,157173,color channel stretch,scale,"image dimensions, classifier, hardware, software (MATLAB)",ACC=.811,Deep image representations for coral image classification
Wiley Online Library,Conservation Biology,2018,Surface,National Oceanicand Atmospheric Administration,"CNN-11, CNN-15, CNN-18","SGD, layers, functions, classifier",364 teams at Kaggle competition,Cascade CNN,mammal,binary,11148,ns,"classification, object detection",ns,cropping and rotation,rotation and rescaling,image dimensions,"cross entropy loss, accuracy",Applying deep learning to right whale photo identification
MDPI,OCEANS,2019,Surface,Independent,CNN-10,"layers, ADAM, functions, classifier",,sliding window,birds,binary,ns,ns,classification,9881/13120,normalize intensity,"rotate, crop","batch size, learning rate = 0.001, epoch, image dimensions, hardware (Nvidia), time, tensorflow","confusion matrix, learning curve",Marine bird detection based on deep learning using high-resolution aerial images
MDPI,OCEANS,2019,Mixed,Independent + search engine,MobileNetV2,"layers, ReLU, softmax","inceptionv3, mobilenetv1","transfer learning (ImageNet) + embedded device, + real time",mixed,7,8455,ns,classification,27056,ns,"rotation, flipping and translation","image dimensions, hardware, tesnorflow, batch size, epochs",ACC=.929 and learning curves,Real-time marine animal images classification by embedded system based on mobilenet and transfer learning
PLOS ONE,plos one,2019,Surface,HiDef Aerial Surveying Ltd (UAV) + Worldview-3 + Google earth + ImageNet,ResNEt-152,"layers, functions, classifier","ResNet-18: 100%, 93.2%, 96.5%; ResNet-34: 100%, 93.2%, 96.5%; DenseNet: 99.9%, 92.2%, 95.9%, C-SVM, ridge regression model",transfer learning (ImageNet) with sliding window,mammal,2,190,10-fold,classification,ns,crop and upscale,ns,"image dimensions, software (pytorch), learning rate = 0.0006, epoch, momentum, batch, regularization, hardware (NVIDIA)","Precision: 100%, Recall: 93.7%, F1: 96.8%, confusion matrix",Aerial-trained deep learning networks for surveying cetaceans from satellite imagery
Oxford academic,ICES Journal of Marine Science,2020,Seabed,Independent,YOLOv3,"ADAM, layers, activation, classifier",varying levels of augmentation,synthetic dataset,crustacean,binary,737,ns,object detection,ns,synthethic,"flips, crops and rotations","image dimensions, epochs, batch size, learning rate=0.001, momentum and weight decay, hardware",mAP=.469,Automatic detection of Western rock lobster using synthetic data
Wiley Online Library,Methods in Ecology and Evolution,2019,Surface,Independent + COCO,Mask R‐CNN (based on Faster R-CNN),"SGD, layer, activation funcitons, classifier",manual count and masks,"region proposal from R-CNN and mask segmentation, transfer learning (COCO)",mammal,3,384,ns,segmentation and detection,ns,ns,"flip, crop, blur, contrast, noise, brightness, translations and scale","hardware, epochs, learning rate = 0.001,, momentum, regularization","accuracy, precision and recall",Drones and convolutional neural networks facilitate automated and accurate cetacean species identification and photogrammetry
Wiley Online Library,Methods in Ecology and Evolution,2019,Surface,Independent,CNN-9,"SGD, layer, activation funcitons, classifier",manual count,Overlapping sliding window,reptile,binary,10384,ns,classification,ns,image split into 100x100 windows,ns,"image dimensions, epochs, momentum, learning rate=0.01, dropout","precision, recall and ROC, accuracy",A convolutional neural network for detecting sea turtles in drone imagery
Nature,Scientific Reports,2019,Surface,"Google Earth, free Arkive83, NOAA Photo Library, and NWPU-RESISC",Inception v3 for presence + Faster R-CNN based on inception-Resnet v2 for counting,"RMSProp, layer, activation funcitons, classifier",Faster R-CNN,separate detection and classification + transfer learning,mammal,3,2100,5-fold,"classification, object detection",ns,ns,"rotation, flipping, cropping, scale, brithness","learning rate=0.001, weight decay, epochs, tensorflow, momentum",F1 measure of 81% ± 0.13% for presence detection and 94% ± 0.01% for locating and counting,Whale counting in satellite and aerial images with deep learning
Elsevier/ScienceDirect,Ecological Informatics,2019,Mixed,Independent,ResNet-50 + 2x RPN + cascade with 7 CNN and a LSTM,"SGD, FC, layers, activations","Faster R-CNN, Ensemble formed from 3 object detection networks trained separately: each with 1 RPN and 2 cascade components","Multi-cascade object detection network with 2 RPNs and an ensemble of 7 CNN components linked by sequential LSTMs (jointly trained), transfer learning (ImageNet)",fish,binary,12000,ns,object detection,NA,NA,NA,"epochs, weight decay, momentum, learning rate = 0.001","Precision, recall, F-score (53.29%, 37.77%, 44.21%)",Cascaded deep network systems with linked ensemble components for underwater fish detection in the wild
Elsevier/ScienceDirect,Ecological Informatics,2019,Mixed,"Search engine + SIBGRAPI 2016 - Workshop of Industry Applications (WIA) (2016), pp. 1-7",Improved Inception,"layers, activation, FC, SGD ","Inception: 86.4%, 85.0%, 83.5%, 83.7%, VGG16, VGG19, ResNet-50","order, family and species separation; fine tuning (imagenet)",fish,68,9717,ns,classification,45165/75806,na,"flip, rotation, scale, shifting","epochs, dropout, image dimensions, keras, hardware, learning rate = 0.001, batch",Accuracy: 87.3%; Precision: 86.3%; recall: .843; f1: .849,Improving Pantanal fish species recognition through taxonomic ranks in convolutional neural networks
Taylor and Francis Online,European Journal of Remote Sensing,2020,Seabed,Search engine + independent,ShrimpNet (CNN-4),"layers, Softmax, RELU, ",--,"fine tuning (MNIST database of handwritten digits), regions",crustacean,6,16138,ns,classification,ns,ns,ns,"epochs, image dimensions, hardware (Intel CPU), tensorflow, regularization","ACC=.955, confusion matrix",Shrimp recognition using ShrimpNet based on convolutional neural network
Elsevier/ScienceDirect,Ecological Informatics,2020,Mixed,F4K,ResNet-50 + YOLOv3,"classifier, activation, layers","GoogleNet, AlexNet + SVM, SSD + ResNet-10",optical flow and GMM create patches which are then evaluted with ResNet-50. Finally REsNet is combined with YOLO,fish,17,29965,10-fold,classification and object detection,ns,background segmention with GMM and optical flow,ns,"batch size, image dimensions, epcohs, learning rate = 0.01 & 0.0001, NVIDIA, tensorflow",F1=.916,Fish detection and species classification in underwater environments using deep learning with temporal information
Elsevier/ScienceDirect,Ecological Informatics,2020,Mixed,F4K & youtube,Custom ResNet-15 with custom Faster R-CNN,"SGD, layers, activation functions, ","Mask R-CNN, YOLACT, CASCADE R-CNN",Cascade Region Proposal,fish,binary,2000,ns,object detection and segmentation,na,"image segments, blur removal, sharpness and luminance correction",ns,"tensorflow, hardware, weight decay, momentum, learning rate = 0.001, epochs, image dimensions","Averaged over union section = .952, training time",Improved deep learning framework for fish segmentation in underwater videos
Elsevier/ScienceDirect,Computers and Electronics in Agriculture,2020,Seabed,Independent,Faster MSSDLite,"layers, SVM, ReLU, SGD","feature extractors (VGG, RESNET, MobileNet); YOLOV3, Faster R-CNN, HOG-SVM",new architecture,crustacean,binary,5125,ns,object detection,23062,"denoising, enhancement","horizontal and vertical flip, angle rotation, cropping, contrast and brightness adjustment, and Gaussian noise addition","tensorflow, hardware, learning rate=0.001, momentum, weight decay, batch size, epochs","training curve, PPV=.990; TRP=.987; F1=.989",Real-time robust detector for underwater live crabs based on deep learning
Oxford academic,ICES Journal of Marine Science,2020,Water-column,Independent,Mask R-CNN,"layers, activation functions, SGD",types of images,"segmentation, transfer learning (COCO)",fish,8,2629,ns,object detection and segmentation,ns,"linearization, lighting correction","translations, horizontal and vertical reflections, rotations, and shear transformations","image dimensions, hardware (NVIDIA)","ACC=.984, IoU=.824",Automatic segmentation of fish using deep learning with application to fish size measurement
Elsevier/ScienceDirect,Optik,2020,Mixed,LifeClef2019 + QUT,Faster AlexNet-11,"softmax, layers, activation functions, ","alexnet, vgg, FAN, FAN-NTL, ResNet, SIFT, Inception","Transfer learning (image net), item-based soft attention",fish,binary,23677,ns,classification,88052,ns,"random distortion, skew and shear","tensorflow, hardware, weight decay, batch, epochs","ACC=.975, training curve",Fish species recognition using an improved AlexNet model
Springer,Multimedia Tools and Applications,2020,Mixed,F4K,ResNet-50,"adamax, layer, tanh, softmax","VGG16 in transfer learning, VGG16, ResNet-50",Transfer learning (imagenet),fish,23,27370,ns,classification,na,na,na,"image dimensions, tensorflow, hardware, epochs, batch, learning rate = 0.001","ACC=.980, PPV=.920, F1=.850, Kappa=.820",Crosspooled FishNet: transfer learning based fish species classification model
Elsevier/ScienceDirect,International Journal of Applied Earth Observation and Geoinformation,2021,Surface,Independent,VGG-16,"SGD, layer, activation funcitons, classifier",--,Sliding window and transfer learning,jellyfish,binary,4000,ns,"classification, object detection",48k,cropping chips,"chip shearing, zoom range and axis flipping","epochs, learning rate=0.0001, batch size, momentum, hardware (NVIDIA), tensorflow, image dimensions","accuracy: 97.46%, loss",JellyNet: The convolutional neural network jellyfish bloom detector
IEEE,IEEE Transactions on Image Processing,2021,Mixed,"SeaCLEF 2017, SeaCLEF 2016",Composited FishNet (CBresnet + EPANet + Cascade R-CNN),"SGD, layer, activation funcitons, classifier","Faster R-CNN + FPN + ResNet101, Cascade R-CNN + ResNet101, ATSS + ResNet101, Cascade R-CNN + ResNeSt
101, Cascade R-CNN + ResNeSt101+ Carafe, Cbnet + Dual_ResNet50 ",new CBresnet (improved resnet) and new EPANet (improved PANet),fish,15,5278,5-fold,object detection,ns,ns,"scale, flip, and contrast","hardware, pytorch, image dimensions, momentum, epochs, weight decay, larning rate = 0.0025 ",F1=.921; AP=.928; AR=.811,Composited FishNet: Fish detection and species recognition from low-quality underwater videos
Springer,SN Computer Science,2021,Mixed,"F4K, QUT",ResNet-50,"adamax, tanh, layers, softmax ","Deep-CNN, Alex-FT-Soft, DeepFish-Softmax-Aug,DeepFish-SVM...",Transfer learning,fish,23,27370,ns,classification,na,ns,na,"learning rate = 0.001, batch, epochs, hardware",ACC=.917**; PPV=.94; TPR=.85; F1=.89,FishResNet: Automatic Fish Classification Approach in Underwater Scenario
Elsevier/ScienceDirect,Ecological Informatics,2021,Mixed,Independent,Reptile few-shots learning,no,"ResNet 100, different sizes of dataset sv ",asymptotic accuracy estimates the needed number of images per class to maximize accuracy,fish,20,82401,ns,classification,691690,ns,"contrast augmentation or diminution, and horizontal flip",image dimensions,ACC=.649,Automatic underwater fish species classification with limited data using few-shot learning
Springer,Wireless Personal Communications,2021,Mixed,"QUT, tested on LifeClef15",CNN-6,"layers, softmax, relu, ","AlexNet: 86.65%, VGG: 91.24%",New arch,fish,6,1334,ns,classification,ns,No,"rotation, flipping,zooming","image dimensions, tensorflow, learning rate = 0.001, weight decay, batch size, epochs",ACC=.904,Automatic fish species classification using deep convolutional neural networks
Elsevier/ScienceDirect,Ecological Informatics,2022,Mixed,COCO + search engine,Faster-RCNN + VGG + CNN (DenseNet inspired),"ADAM & Adagrad, classifier, layers, activations",iNaturalist model Seek,Transfer learning + cascade architecture,fish,219,53601,ns,object detection and classification,ns,ns,"transformations
such as width and height shifting, shearing, zooming, and rotations","tensorflow, epochs, learning rate = 0.0001 & 9^-3, image dimensions, regularization","accuracy, AUC, recall, precision, f1:.91",Shark detection and classification with machine learning
Springer,Applied Intelligence,2022,Mixed,F4K,YOLOv3 + CNN-SENet,"adam, layers, softmax, ReLU","Inception-V3, ResNet-50, and Inception-ResNet-V2",Transfer learning (ImageNet) and cascade architecture,fish,4,1053,ns,object detection and classification,ns,na,"rotation, shift, scaling, flip, and shearing","hardware, learning rate = 0.001, batch, epochs, image dimensions, regularization",ACC=.837,Temperate fish detection and classification: a deep learning based approach
Springer,Multimedia Tools and Applications,2022,Water-column,Baidu Gallery + ImageNet,Faster R-CNN and GoogLeNet,"SGDM, layers, activation, softmax",AlexNet,cascade architecture,jellyfish,11,11804,ns,object detection,25344,"dark channel prior algorithm, Histogram equalization, and contrast limited adaptive histogram equalization","Rotation, flip","learning rate (0.0001 + 0.0003), epoch, batch size , image dimensiosn, dropout",ACC=.750,Research on multiple jellyfish classification and detection based on deep learning
